ph,temperature,turbidity,fish
8.6379956230756,18.336461352490424,3.478995169124832,tilapia
8.795227390609153,18.59775448199402,3.4583208349847254,rui
8.845056770620364,18.839123953552285,3.5696328955510532,tilapia
8.22860316391181,25.333474024858276,4.337292534067094,tilapia
8.190102520956481,28.66938637146208,3.9988152595785054,rui
6.691732609536408,21.20082284692245,3.694573572250772,pangas
7.84755011749781,18.319442805080094,3.52041573641147,sing
7.018350891400423,20.7471169291812,3.5242621518094777,pangas
7.854619693166753,17.439799739536287,3.94927111995399,katla
7.838913552378551,17.319203967081776,3.6174337893183517,rui
6.29017546745151,25.417928663654635,4.0044122867605685,shrimp
8.870052928217694,18.507616436153896,3.298808742417553,tilapia
9.061075903169678,27.725197779372,3.213036862382202,rui
7.1813400897873265,21.021493437627093,3.39260905162558,koi
6.930966384728845,30.443685681095822,7.40242049080918,tilapia
7.13011053087704,23.62017565055291,4.148901237090893,rui
8.695789414335701,16.95946464330803,3.5404718415886465,rui
8.320374670438335,17.489686516482934,3.44375051994934,tilapia
7.461749300324201,21.074168403513095,3.7136365492244248,rui
8.604572975142757,18.16373382124688,3.2835303222775716,tilapia
8.884668449547512,18.23948539076949,3.1664192043150376,pangas
8.874548375514706,18.008055548119042,3.6129782896503535,tilapia
8.265334480827818,16.985880468516324,3.7369830222111724,tilapia
7.651886171169711,17.326056701562237,3.568467534169698,karpio
8.705133854973997,17.824971933770808,3.611734297027384,tilapia
6.88271277274558,20.581526733002402,3.7197706214487627,rui
7.079089768290903,26.20502328283252,7.49600938086764,tilapia
7.198090707114206,23.434313794025424,4.213339344074804,tilapia
6.546908510830894,20.62781580608001,5.032771982687974,pangas
7.718657489524876,21.37294870896781,3.3197678948191767,tilapia
5.984041466385514,21.59588830144914,3.217883069679063,silverCup
8.346484694975604,29.911177165338604,2.7536166966491313,tilapia
7.374267304257755,13.0643614635364,8.470034131613467,katla
7.353553205986292,29.158790862873538,8.041415563820896,pangas
6.066126524915084,21.063718018465778,3.1902355266411697,pangas
8.36083027284943,34.992387947322975,5.264536113296719,shrimp
6.878572458369526,32.58545076448657,8.324329668391801,katla
7.894628961533618,17.68163173157047,3.938810818755032,silverCup
8.873243730147902,17.383105108118038,3.5253131031739016,pangas
7.577749654316516,21.402377912551042,3.5941537347928483,rui
7.979390141388662,17.665479322554432,3.7161291537593986,karpio
5.660048306477304,32.24206510310315,3.9251076798775864,rui
6.914135433483514,20.37854345901997,3.65002552741834,tilapia
7.275560935671312,21.437190513589226,3.6411988195949103,sing
6.975879092051902,21.36923996841614,3.855625215920917,pangas
5.702977451764221,21.212199069608495,5.97547371919507,tilapia
7.0462041351835065,21.24648097463742,3.5192084127904204,shrimp
8.725432342010494,18.66964466996721,3.522372808817717,shrimp
7.76493190006237,26.609110592577114,5.1822618077206055,tilapia
7.355625336026907,21.171378848106706,3.3646997955345435,rui
7.203228755401679,20.296825014829864,3.47443300933614,pangas
6.963009245859893,21.55979256550864,3.485501656187048,katla
7.379271083257134,20.1389479767902,3.6454624276277015,tilapia
7.386403116877129,21.887056318053418,3.7326762016393347,tilapia
6.977588756160012,4.847206019392085,5.266027699543165,pangas
6.876649935624963,20.94100014798221,3.7662287240613535,katla
7.256571231573582,21.88461247748655,3.334267511547148,tilapia
8.027311260427753,22.109976901509523,3.8135935789373714,karpio
7.419389686012247,25.55648596990743,15.507937683015307,silverCup
8.421615518864968,17.283786059522317,3.470767334669013,prawn
6.116810430783464,19.44907841967262,5.737063578898029,katla
8.284779949450735,17.338587532809616,3.5838231953695545,tilapia
6.5680922818427625,27.83274431101806,4.239427903202694,silverCup
7.790610398711159,20.49554379458222,3.492491733163635,shrimp
8.050288245055123,29.254287911245537,8.343180567221179,koi
8.191572973985005,17.59029881681495,3.4933195847548895,shrimp
8.2385977509833,17.35860668178474,3.636678843820382,magur
9.038412600753915,27.835972716892645,3.4880679714180687,shrimp
6.390871475936889,21.34698749096431,3.6188152238819207,tilapia
8.727039321290448,17.816223892407617,3.5215309991575183,shrimp
7.625540781329046,26.00472545241381,15.329149587634731,katla
6.789850449268273,20.54652415357203,3.715958219455399,tilapia
8.757888058197143,17.567693015977195,3.208253150222207,katla
8.7597133241555,17.82318612678875,3.4344259083527873,silverCup
7.178258726832468,21.837383052096925,3.3898529358703695,sing
7.517292021054848,20.510797252571013,9.464411376786723,tilapia
8.815014699938887,17.677291681765112,3.3526261787235243,tilapia
7.292242583522366,35.31501444577243,8.346296553258297,sing
7.97001097291481,21.470685277403046,3.453986277135263,pangas
7.256046213112566,20.972774484659496,3.8497695450798175,tilapia
7.854823985194307,18.471538814620317,3.6709387633037345,tilapia
8.627718703550201,17.801040221376915,3.427244251850946,tilapia
8.260627158969095,18.267389750666755,3.521446185027325,karpio
6.895676943029529,20.784262510687594,3.1019803149730314,koi
8.690463523012863,18.04177104338131,3.7322529568249214,karpio
6.864791170522551,20.665200886147886,3.523238788412052,katla
8.176272612205743,17.95154481681399,3.67055426279112,tilapia
8.293881847675527,31.209811625261825,5.131828451927285,katla
7.929968463754256,24.580704151742708,2.96681265569287,pangas
7.843815330752018,16.153928250459828,3.2270063956396005,shrimp
8.356758459176579,21.984865229878373,3.8301068062688874,shrimp
7.271133382943168,9.431240804545041,6.358882171609971,koi
6.703446889916771,25.761747371678112,3.8468813142710463,tilapia
7.604575139857626,21.59408392796693,3.3738783372819894,koi
6.867506463437519,21.204041788156875,3.657101313896525,shrimp
7.680807458292721,21.904792141654877,3.7715689571505484,tilapia
8.667474626456322,17.998020080455824,3.600769548513594,sing
6.374443005600135,22.07616920703872,3.4016185423298646,pangas
7.59960567720979,21.023740199242212,3.2591267209091046,rui
8.255174237864303,17.718137355510038,3.5467289583138135,magur
8.793004701702214,18.515713810089075,3.6416695639398107,tilapia
7.550051520110089,31.54796526274165,4.932408403952841,katla
6.015695964983117,21.660422723271232,3.468998379385163,shrimp
8.664262582836656,17.93565084081372,3.648177283916497,sing
6.904330999355391,20.958462469590092,3.425616729419346,silverCup
6.885127690715553,22.043984166321852,3.3835010118370117,shrimp
6.605968460059016,20.957917133276112,3.778835437529845,koi
8.836315463338927,18.11457286614395,3.356117847178664,tilapia
7.171946177828904,21.285305666964078,3.6916485171538707,rui
8.391013675524787,18.224128955189215,3.6817971536305687,katla
8.06011089321153,18.028845195315142,3.9485213184304357,silverCup
8.408907144563473,17.793588092387186,3.4726693341771133,pangas
8.492407631493933,31.838391211755972,3.73403151608247,tilapia
6.598678466462388,29.296085148212043,3.5465586416769552,tilapia
7.372236682280238,28.427784729918734,3.5850904161603494,silverCup
7.0666473972609705,20.99449210449278,3.770011767336202,katla
6.151299539510496,17.877754819340815,3.5788434073454836,magur
7.923856447367861,27.096405027693176,5.448342997434023,katla
7.846597227013194,20.904819414633728,3.5675067576072292,shrimp
7.69251535996608,21.306380520996637,3.6546982647024926,karpio
7.768441669569738,27.31716324427223,5.451734056291932,sing
8.273018825763168,17.82002241214837,3.9981497980267022,sing
7.3227061344408115,20.53299894127268,3.467925955362579,shrimp
7.371763588627586,9.168854530684635,6.466017016322986,pangas
8.130683824093392,17.517109601289437,3.679980829515589,katla
7.357299147218687,21.149054019461033,3.597429859771809,sing
7.025680032601024,20.552668785060497,3.4735014527226378,shrimp
8.225047565588012,17.923462879126895,4.001896254765174,tilapia
8.544166933753916,16.53149739996152,3.387765171460855,tilapia
7.070225331029383,25.476010902687495,3.468084508354388,rui
6.905617460256544,29.195762138734338,6.08168953941377,rui
6.08711389103519,20.84457860486994,3.5560838372125887,tilapia
8.117399709262036,17.664530549124077,3.3146409526613287,sing
7.507274407700734,21.070405675507416,3.3942226432830993,rui
6.780420280790636,26.588623917694086,3.2518870279896834,tilapia
6.953975400683484,21.634052862901402,3.5933910180720674,silverCup
7.98663086170327,21.845675781709403,3.6694029982088625,sing
6.41361197727041,21.04406342734178,3.972975337979826,katla
6.886736972610042,20.891063943843115,3.507041754463048,rui
8.096763373889269,20.85257855804918,3.431088788706728,pangas
7.3611922023308844,22.15029090902458,7.566933909525922,koi
8.4518876600743,18.586672476777288,3.6330771438311857,silverCup
7.811707576512841,21.854913093581278,3.2912568197084795,sing
8.050610144752882,17.749770331614975,3.151577604280708,sing
8.19897750793266,18.14519851957563,3.331010228522439,tilapia
6.912608404157384,21.387447827832442,3.60736991292247,silverCup
6.8772404076347655,20.069845187364894,3.429173484431905,katla
8.465829581457935,31.679120406719317,2.9945560787993295,tilapia
8.060510966875537,21.307944357406686,3.4344585366679663,pangas
7.657055116965392,18.171868610525536,3.3697029540157106,karpio
7.064489128940266,21.441641650055985,3.231234482248544,prawn
7.685955462937742,21.313568650757546,3.614418910494655,katla
7.327475269988873,22.13803528976605,7.604690201652486,tilapia
6.936942192709797,20.961128965801134,3.2789399532636705,silverCup
8.185147361818164,18.31787823047527,3.2953457530834727,rui
7.299603384608013,21.642601609460865,3.9156486544256257,katla
7.504633610223106,21.483947117130302,3.3639853587245727,tilapia
6.895565200143903,20.486541270050278,3.801954618623294,pangas
8.640676049151823,18.18758209532194,3.3867092780485826,tilapia
6.985195950139852,21.55705388618804,3.7315805193391767,katla
6.973872349690273,21.131843690851426,3.445955236099545,rui
6.974140816752303,21.112841251573155,3.551096730425318,tilapia
7.558889830288992,27.711221909519754,6.412675466021617,rui
6.685729361712967,17.047608373478575,3.9921657202605605,tilapia
7.891962356574708,17.228910799001593,2.968378735546752,katla
7.810642585315185,21.013559257834302,14.811993526869937,pangas
7.141956014155252,32.77018968008012,8.940791741129756,sing
6.834850704187268,21.297568331842452,3.4960886704774734,rui
7.508979447174611,15.755272923302371,7.146591620672973,shrimp
7.301641689431712,27.11462633840061,5.906021806065821,rui
8.88047442070535,17.80002653713039,3.302852233089241,pangas
6.066650487106682,20.115562776818727,4.016772687134749,pangas
7.473638110747444,21.445345840751735,3.379713027666386,tilapia
7.035726893350299,20.559780478762423,3.3721512992364167,silverCup
8.397985640326368,17.842716445234032,3.6652143875672585,silverCup
7.8258237777130875,21.90130472210596,4.079394272994862,katla
8.64403616849158,30.186624200951414,3.0107558384671513,tilapia
7.153221525374211,13.0666327640042,8.775983214681633,shrimp
5.9571409618857425,21.19419048816558,3.217498767029994,rui
7.3743459380234775,5.698356106706721,9.528213028787746,shrimp
8.37619515779821,18.106069260288322,3.652519381271525,katla
8.833356172617387,18.930927901556895,3.588696105437868,rui
6.176575939854627,31.974113133003474,5.021336007693098,pangas
7.003696312682988,21.045517065085395,3.419750804446795,tilapia
7.758934589143031,20.86890918028226,14.872377656601047,katla
6.000868053513844,26.851293525529133,4.0030297804862744,tilapia
7.739702696951302,17.424683234314855,3.7972224762158775,tilapia
7.848153158636724,17.228203832275177,3.621927698616916,silverCup
8.29689055040672,17.494070447794208,3.5707139417037497,sing
8.049770000025402,18.476615147328758,3.955489174773142,silverCup
6.294727352097331,18.904884763418455,6.063857772398107,sing
5.868307077050344,17.603569728508663,3.796182397159928,pangas
8.704409709091378,18.280786443482246,3.499401206047407,magur
5.948737124938358,21.196152261397373,3.1313721385408373,sing
6.061972899216995,20.68657066173406,3.3880891551572034,katla
9.061587969232875,27.364267862172355,3.8819519487426577,koi
7.635307214411896,28.414881995775048,6.001795902179461,sing
7.697523566011057,20.66664862568414,3.453004720621728,katla
7.851424877372356,20.89775444524177,3.3428317112953922,katla
7.407548796497748,20.376239541941196,8.214806463426465,tilapia
7.0113936258296885,29.86528199079285,3.679260344427174,koi
7.318067745873377,21.039734247723292,3.711473259301718,tilapia
8.244295872419947,26.11447678503572,3.8139915198287397,tilapia
7.876946970598008,20.77730113186967,3.651145136386252,pangas
8.040364423077113,19.280248807948208,3.661127726362282,katla
6.4841657333176554,19.990376983628625,3.620161009639998,tilapia
7.843107717723087,27.01978664707389,7.4211907036878415,rui
7.569955837689299,27.764582805801464,6.080793412314077,katla
7.1908043638268495,21.687853419519524,3.392593707332466,tilapia
7.907202897722488,31.565120470187953,5.3376594460781925,pangas
8.757873317249409,17.57722125604604,3.247654420629325,tilapia
8.721024366881496,17.719198275479428,3.316590734796386,pangas
5.984760320629634,22.332192549286837,3.583093654675993,shrimp
8.096223573622357,26.24242907491849,5.8971807534037985,katla
8.66377087556267,18.004550937540532,3.8660294043215093,shrimp
8.84782640645124,18.172135521139115,3.375028566284967,shrimp
8.331058928928137,17.10114544090412,3.5179770540379987,katla
8.00907869725315,17.44298688861735,3.6968609255033327,rui
6.521073746794364,26.286117422085063,4.126509719855453,rui
8.641295698262027,17.46598194250386,3.792904695642773,sing
8.636373952681314,18.79715331895375,3.662598557170936,pangas
6.954955244074439,4.662688687741637,4.784745614135551,karpio
8.605402571665724,17.726271454015063,3.235374508537939,prawn
7.139609773006515,29.617280946507915,5.839746328438923,rui
7.888357281636145,17.81092853326069,3.5878920017560634,prawn
8.159579324758218,21.613090134852715,3.8496370380919456,silverCup
6.850425545752789,21.624289907708317,3.4174117800914017,sing
7.01470033500479,21.92021759531744,3.555845487455489,rui
7.262845058407968,20.540371248948606,3.1007482030637776,tilapia
8.754417388281908,17.32137860983572,3.3732042406341627,tilapia
7.463744054435207,7.417625171708672,9.505966284482964,pangas
8.231627575198601,17.83650950049051,3.4963286737041632,pangas
8.067463114376297,27.63694074715495,3.8781828505041176,pangas
8.826446320053147,17.21103324747492,3.3096256675738402,rui
6.639322833601042,20.784754396640725,5.212533732644664,rui
8.837836021695894,18.2831395764589,3.5733936826151638,tilapia
7.143363821843201,20.55781627117587,3.3658144646317596,pangas
6.435274019837315,23.016093768263612,4.294577844845726,katla
6.034526249588478,27.580596462481143,3.9984829862757323,pangas
8.96551052864603,27.02726160705663,2.9223072223624,shrimp
8.22298432592639,17.868724936230404,3.1689339449593974,tilapia
6.846742169928251,18.42138351903724,3.4532418950944788,katla
7.192885757144967,20.65983517660462,3.4925831135108236,pangas
6.048289709866665,21.301652298306124,3.796981276594516,sing
7.130643716215441,21.374033342691124,3.692622609299082,tilapia
7.594923832044444,32.31821832697028,5.589403307472198,shrimp
8.313561317714147,18.309987080054988,3.601436787170709,rui
8.646252473796066,26.55868590223408,2.4312225652420434,silverCup
8.811595200875095,24.608200409772895,6.985177470517685,tilapia
7.150166414980018,23.14903438606237,4.475540327449802,sing
8.435460551619663,27.358329905340867,5.584849028828892,silverCup
6.832956899966744,21.12224041448509,3.4900705774439387,pangas
7.43899017883938,20.994326834839974,3.5434995090116765,katla
8.34187778231636,30.12740305864173,5.794603231305537,pangas
6.351075714732295,24.089599755180743,3.8088851701491087,rui
6.898967315358268,21.337342029430413,3.5732862923216406,tilapia
7.084772587361874,29.96328987260911,4.007169887886967,rui
6.748620133707833,19.98730599008904,2.8318116018940094,katla
7.243960146477085,23.519814943594657,5.382453657680188,pangas
6.9012091472560835,21.365608768631095,3.40796427605822,rui
8.624107292365373,17.246931688421498,3.5649761852812065,pangas
8.318594853846236,17.491371160468937,3.8450142244229153,tilapia
7.385132082086546,22.19804079312452,7.34279178305627,silverCup
7.441283372712584,30.30439501524175,2.6271840645142337,pangas
8.53329502704105,30.328647906687788,6.646813538695724,silverCup
6.246402704537221,25.76414819503003,4.19520656066468,magur
8.720771104283102,17.80555111405438,3.4399605646184006,silverCup
6.1676949348509975,21.925139926099806,3.5103152681525223,prawn
7.857624898854307,27.54347381773571,5.902167836508265,tilapia
7.857473494251444,27.235347938531177,5.722679821114227,pangas
8.601017663525127,18.09780260333951,3.563854306672519,rui
7.0856407156431915,21.288315918927623,3.266936745413541,pangas
7.073775323814637,22.261741954958296,3.5495600144178088,karpio
6.8778308705176245,21.696772980473952,3.554445833407634,rui
6.798587592827546,21.024720973050364,3.7761252243023913,tilapia
8.686478661158779,18.68757932739003,3.226795933364762,magur
8.325588937390721,17.20488662580329,3.524165015266092,pangas
6.586144115443968,25.133013039643995,3.947907236274065,katla
7.057260363595751,21.818618925429966,3.6391320105817946,tilapia
7.813521420279978,20.355325321457467,3.660360501770157,pangas
8.105106761736183,27.948398114213262,8.380910552269608,pangas
8.59326561840882,17.589642754037673,3.412590499952307,silverCup
6.796437866991009,30.25768979154885,8.06057091459555,katla
7.87235280943144,20.49353147146259,3.2064687270569983,karpio
8.376252777516408,21.81797238118849,3.7808263399971285,rui
7.689894214354461,21.23155791274007,3.4080935774154693,pangas
7.8248972069521905,20.601342664955478,3.7084435314175597,shrimp
7.811068972467771,31.000645922294733,5.084629844606674,tilapia
7.426618935861496,25.421927940815802,7.509384846940902,tilapia
7.213702144951874,21.145713401826615,3.610955039579127,shrimp
7.336116626691677,23.138859329833153,7.980685515748466,pangas
8.078115214113515,18.271099295741962,3.5700869146525855,katla
7.4710188848505314,21.202054892831967,3.4806011729104585,magur
5.983024477607859,25.386025968892053,4.129571874575484,tilapia
8.293592569207963,17.526096372805043,3.4133386640305208,pangas
8.735139777328293,17.332985160197826,3.1438162531061034,pangas
7.638632154864426,28.021770241507916,6.261700820806204,silverCup
6.930311289234869,21.830071029580985,3.7438875217090284,pangas
8.80591498443741,17.773743168452317,3.563244694259353,katla
6.400694771377285,27.077375184311215,3.663235976155,silverCup
8.717735465474235,18.049145848999043,3.753116106557348,shrimp
7.498116141465914,25.22475904071988,8.804293339644955,tilapia
7.511730261460855,27.12205704819721,0.9837292755670874,pangas
8.250305253496238,16.511984945597913,3.5397459634936443,sing
6.162990356549879,29.688241763538635,3.8109362172361543,pangas
6.779415235421681,22.07149078577203,5.95514971201713,pangas
7.055876244930085,21.335712573976334,3.8060615137803206,shrimp
7.534912347266029,21.226322403388714,3.938676302072407,silverCup
8.320107775915782,28.144091949316977,5.7330096838008,sing
7.381296180376304,21.299429678783305,3.307952177362736,pangas
5.958643459203518,21.6627865144989,3.5966989937908456,pangas
8.566032051005276,17.750756762192268,3.6808254947783143,sing
7.099248183697861,20.9130173124005,3.6312244053991027,katla
6.9685825718005185,20.4221975489546,3.4665136709924593,tilapia
7.001286264508399,21.262994995019803,3.6806970052304635,shrimp
6.542129722860873,21.335873924041614,3.512704769319696,koi
6.882639421402187,20.37119685287835,2.952162359437827,rui
7.609626496766193,21.675431664430274,3.677139190506768,tilapia
7.759494236657025,17.781467388981575,3.78154467078877,tilapia
7.484768348558028,32.39823608320902,5.117692292302422,pangas
5.985398442654841,21.21450992056836,3.689061983795671,tilapia
5.846537395461299,20.91944403460707,3.1985467114391795,silverCup
7.318592010429349,26.318197536270812,2.8661286623300612,silverCup
8.623799125793782,17.866296527508723,3.591527425011047,rui
9.088078250931694,28.392042333597985,3.379553027537391,tilapia
6.901876440280171,20.941948615542472,3.692461735617762,pangas
8.150140665115542,34.731513447538774,5.040922156324909,rui
7.0063363594576105,21.384694082781824,3.3528494119654573,pangas
8.797147969150009,17.472985581754564,3.464192363066227,rui
7.656806901925387,23.93049596166636,3.2110421259716877,rui
6.865468178232354,11.088339955278657,7.164602690862291,silverCup
8.128151133037349,22.180207219662506,3.6915701436637436,rui
6.295489879767632,21.313183761502348,3.55421168304201,katla
7.684918062323257,25.101189377827712,15.538768271182803,tilapia
6.464683083222037,27.78871802232559,4.425115152824747,tilapia
7.263944743060635,18.609541499512805,14.876341164861719,tilapia
7.4149422461840535,25.79861606401849,2.971780562911446,sing
6.268608600701569,25.682577310721154,4.2722102944413205,tilapia
7.1706821314140345,21.874306038191353,3.066622099991075,sing
7.093722049571838,10.719976418495191,7.334102235000518,sing
7.071334976824285,20.69134319317474,3.3747307100592168,karpio
8.240384177043325,18.339808459795275,3.7969304213249426,pangas
7.76487843081493,21.808942226088227,3.131063185121841,tilapia
6.397345264837029,21.76126811150234,3.592758423328106,shrimp
7.570953420271595,27.160532893628346,15.446242648453252,silverCup
8.29777579153127,17.76435550201987,3.3423723645322445,katla
8.251297605994209,22.034491749558644,3.573906614829847,silverCup
7.053062265957639,29.919896990538625,6.25234992385781,pangas
6.821169546430897,21.371249043998624,3.403420485589551,pangas
7.34860738150427,21.086318421343783,3.5001150711680875,tilapia
7.8161316965285295,30.19864913234261,15.289784338588584,pangas
6.299109217790466,21.026016767438165,4.881166177953955,silverCup
8.8895013855464,17.68678004358169,3.415678291399536,tilapia
6.629485737758779,17.97616431406852,3.428425655508534,rui
6.987674502279402,33.112028751817405,8.862291166962374,pangas
8.640808160430021,24.43885958885482,6.968519816706865,tilapia
8.949614136991212,18.164360281921557,3.6354593138562192,pangas
8.087468441589323,27.137631369186167,8.805690972697997,rui
8.088570559226568,28.661665678026978,4.184556088945505,rui
8.437681911599467,17.928737455588543,3.4391095784250973,karpio
8.806291808333052,18.432523073012582,3.655825183986518,rui
5.995428564765048,20.632934968302976,3.4699624971799046,pangas
8.370867153009064,18.20650385634772,3.4063239915885184,katla
8.09800371417001,18.03724036404347,3.7785216656338103,rui
7.350478134460949,25.545325503461076,15.643502646004128,silverCup
8.624386485675032,29.27986207110843,6.552185278939551,shrimp
6.024432810802248,26.486425289099234,4.2322428887047305,rui
6.150587417516579,21.136093029206304,3.7859959781646575,silverCup
8.235505621405242,17.012769558581137,3.3962709229023673,sing
8.619397626286569,17.385745962858806,3.4848871216177675,karpio
7.769524898697305,26.75299469886646,5.8003879743875695,sing
8.01251284413141,24.701364824665742,4.231741800062143,pangas
9.010061485396234,27.267353346240892,2.608188120783576,rui
7.6664909591778825,21.129224212433883,3.6824361696909236,koi
8.504513662980209,29.786375679205683,2.631415794083178,rui
8.856635416984492,16.934625733126833,3.6614501038289005,rui
8.18893887908083,17.12971122444081,3.597019186634362,prawn
5.927161783492626,25.007730316550255,5.270434702312336,pangas
6.995301236121853,21.067958634875037,3.6711817443360184,sing
7.262434731719948,6.59039066633286,9.05245510016038,katla
6.744543517382526,21.5204576528427,3.456245922901975,sing
7.683923428779467,26.45795319570108,7.154957830696252,prawn
8.084825855576682,17.803872650462363,3.3962493848776534,rui
7.136930534318425,21.401223155748717,3.4998945265069423,shrimp
5.945560193373317,18.331810707820818,3.3841503387596865,tilapia
6.753870548567127,17.957057994744808,3.959634423887664,silverCup
8.891307639202989,17.752319709667617,3.35814373249523,katla
7.849162138485711,20.668048823758294,3.6298261342956724,rui
8.11394137327733,29.170436685046873,7.474869813014051,shrimp
7.032318717241528,29.03673454849902,5.982626344267793,shrimp
7.730041895021345,17.223707867299247,3.3257165244562343,silverCup
7.607432658215872,29.659934398061264,15.389622664373574,pangas
7.118575638048393,21.37802625569744,3.507846137293907,rui
8.944680054906073,18.60309706669908,3.5859238583446826,karpio
7.589823950365849,28.84130286180994,6.030069276930177,karpio
8.731765573047218,17.34121824443606,3.495624621608524,katla
8.68890212847562,17.77764655102759,3.2860510661002884,tilapia
6.015326457861853,21.41799459203627,3.66256448884776,katla
8.348393022985551,17.877852463800707,3.5116770977385237,tilapia
6.405570746105229,20.47970422816231,3.7301683048160084,katla
8.55224875402107,17.579872169898135,3.3883915652064576,tilapia
8.010298248807437,26.353475655523162,3.1961205091447704,rui
8.342327270525443,18.34478498442889,3.57340068014628,tilapia
7.9085725250610315,26.58193269877856,3.48275769950333,pangas
6.4534224120171615,20.634281223732145,3.3883467975421118,rui
6.99260173729473,21.08965045570422,3.4366714786180665,rui
5.974932680520029,20.698615016613612,3.7007645458766554,sing
7.082403501306468,21.59366499655423,3.684915561719245,sing
8.767911133516257,16.857531178919817,3.372924605304582,silverCup
6.934347915558641,21.045435918730167,3.6461641756989653,sing
8.589373476376261,17.52014520802195,3.282532237069054,pangas
6.030909854527817,21.52332140925837,3.571249374535035,rui
8.109589289744102,16.825976752309302,3.3552867551835437,karpio
5.998652278185764,20.927804728161057,3.5770814814917333,katla
7.183582060782822,3.7285964820023656,9.450931979963272,rui
7.466290151426764,21.216957396695953,3.342540005674934,katla
7.738785350780217,17.69795494060548,3.6050298590229795,silverCup
7.817440153511263,29.390793722141325,5.38536480637597,katla
8.306658679719678,17.57162062004165,3.6106310062593825,rui
7.3407350684896,21.055520085934763,3.6266770572934592,rui
7.509822797153673,20.52120177019202,3.5627984851159593,silverCup
6.4035444868167355,25.400268636746983,4.210634831608051,tilapia
7.166953801427715,18.041771460596628,5.247479669444364,katla
7.257299263933823,21.257403287155928,3.5191616291144956,katla
8.727192702901673,18.86080043527837,3.2212948131937313,shrimp
8.719428382432161,30.89402946659446,3.6983029909415093,koi
7.70829352042388,24.73522541811401,4.005916191100278,prawn
8.410505374291091,17.429496100571704,3.582762808979583,tilapia
8.401494606731305,17.05307274543803,3.6786101461719585,prawn
8.22406225096044,17.381825614667882,3.519634825431435,katla
7.650564356899224,26.570033620168157,5.578505479778803,tilapia
6.0336740391930785,26.58815481510165,3.8771878767789434,pangas
8.28044588918328,17.805745138648028,3.62784343530786,shrimp
8.151624859261284,21.222166594909638,3.720171118339196,katla
7.5339157070160665,27.225421616303525,5.580109059415576,sing
6.219611837503284,21.67188721707421,3.4325366289036903,pangas
7.710313292135389,21.822002702293574,3.589651722824208,koi
7.457788041987595,31.91202130658288,5.204100343861932,tilapia
7.9037248745819895,21.065162190239974,3.67803776699571,silverCup
8.686345214995976,29.315334563371476,6.38775778518675,tilapia
7.437066081856724,32.457834718459374,3.79397411902069,pangas
6.949785285691701,27.378683872543583,4.379571505011828,karpio
6.3667776435009,20.188965493096273,3.3296994193716016,silverCup
5.827241748223598,20.72395224061914,3.3954244495565833,sing
8.118075326278124,18.400598203825542,3.396410058830221,katla
8.290351789385971,17.581740051062006,3.737875418624929,tilapia
7.5890144672210145,30.221877483493003,5.587155082803261,silverCup
8.316715037773049,17.09544975407506,3.4229288839616157,katla
8.716394658062375,18.019899308160984,3.611769479886794,katla
7.998547589867551,17.19747616823059,3.2627990177852717,sing
8.488034976885604,17.089626595712666,3.65787850050131,silverCup
6.105711656543255,20.721761583296026,3.5728228203081933,silverCup
8.142909790308517,21.837867905820076,3.5572773638737476,sing
6.479819434711055,20.87940845478331,3.6491897529742783,silverCup
6.792322271156104,21.103963313979158,3.032429622998504,rui
7.486302079815676,20.640794826615124,3.575491551341955,rui
6.734260945572019,25.726604959572292,4.560761190749712,rui
7.6089459151532015,21.1473387930458,3.8038264378219053,pangas
6.372681308468352,21.547653919099847,3.687891552632789,pangas
7.850911327030758,21.114505748757637,3.819860865355279,silverCup
7.136467708081761,28.916475055270556,3.989330458628773,rui
6.976707603989487,21.06560466333392,3.645658273401394,karpio
7.642274618302077,27.910437897502185,5.017802782251109,shrimp
7.087620101618232,21.910926822525045,3.6100989084257056,koi
8.220539401260508,16.88049649349651,3.353009837264512,pangas
6.918633613228454,20.672418733075908,3.4882918628441595,pangas
7.4367798722410114,31.08631082390503,6.241764704391326,pangas
6.841720628829173,16.660470964588814,3.6675230195233195,silverCup
8.851052257310815,26.644715249054876,2.8715203119095025,rui
6.311648607613125,27.56474974709617,7.040668963722709,sing
7.939364411969227,26.99006707459116,4.296782332268914,tilapia
7.2076111480977385,21.466146721554992,3.507114129952493,pangas
8.804232268226915,17.83954275975374,3.383225800484611,tilapia
8.070536212878949,25.727752126929545,5.963039337332161,magur
8.164432886544075,17.276381530401245,3.5969576632615965,silverCup
7.061854788253222,21.694041172343308,3.7104867567362523,karpio
6.168004104200635,21.56063921638827,3.882271652728773,karpio
7.445903497279442,19.4943661460258,7.970339350657434,silverCup
8.817923162434141,18.63468334507641,3.609833356127106,silverCup
7.63122554449991,20.480879740980086,3.5112410776423726,shrimp
8.24108618155053,18.16638532405051,3.291705763006666,sing
6.763284876713598,23.180747977599026,5.82217433634376,pangas
7.025680741405361,33.78736961745152,8.6071390107725,tilapia
6.11312542363252,20.848254820147545,3.5166006713476965,rui
8.021163369918867,28.566054586576954,7.058694535330898,silverCup
7.984869383836204,21.369966674422066,3.656590831100411,rui
6.664801630835576,25.45791633766615,4.157880009610988,rui
8.864934954690947,17.73236044712939,3.557255245898192,pangas
8.576565841240205,17.277853077671537,3.191652986887398,katla
7.985466490963438,20.80439319865257,3.424967601952924,silverCup
